username,content,time
"username=""塔吉勒格""",            做出来的九大巨人战斗力数值图,2018-10-15 00:45
"username=""McCa_2007""",            进击的技能强度比女巨高在哪里，女巨至少还会硬质化，还有敏捷应该高一点,2018-10-15 00:58
"username=""小夭の七七""",            如果这个铠之巨人是莱纳操控的话 我觉得应该全是0,2018-10-15 01:31
"username=""GaryTAO3""",            进击不就预测未来吗，我能想象阿尼没教艾伦格斗技艾伦能打过几个智慧巨。,2018-10-15 03:53
"username=""Aclanda""",            主要是还得看操纵者啦，操纵者菜巨人也强不了,2018-10-15 07:49
"username=""奋斗荣光zzz""",            我觉得进击的巨人的持久度低了，马莱会场大战中，艾伦变身了足足三次，而战锤只变身了一次半。,2018-10-15 08:07
"username=""永生的两栖动物""",            个人感觉有三点值得商榷：,2018-10-15 09:50
"username=""草鞋老子""",            什么巨人都是辣鸡，被五岁的妈妈灭了半个村子,2018-10-15 10:06
"username=""伊鲁牙师图2""",            铠之巨人和进击的巨人是能力均衡上兼有特色的一类。,2018-10-15 10:25
"username=""fade1115""",            让我想到了实况足球,2018-10-15 10:42
"username=""冷清的风12138""",            车力巨人没有那么敏捷，如果足够敏捷就可以参与到与立体机动装置的战斗中了，马来篇车力巨人应战也是因为她身上有个全机枪班。,2018-10-15 10:50
"username=""起个嚣张名真难""",            怎么没有绿巨人？,2018-10-15 14:13
"username=""TY封弊者""",            始祖应该全满才对，按原理来讲，始祖巨可以拥有其他八大巨的所有特点，始祖巨的能力是控制坐标，巨人的一切都在坐标里流通，讲道理始祖巨想拿哪个巨人套在身上都可以,2018-10-15 14:30
"username=""小胖子肥猪""",            ,2018-10-15 16:09
"username=""摩尔迦娜""",            ,2018-10-15 19:06
"username=""USG石村号""",            战锤巨人垫底敏捷没问题，这货就没法跑步。基本只能站桩。还不能离开路由器。网线也不够场，好处就是远程操作。有武器装备。武器威力巨大，技能厉害。可以制造自己需要的硬化材料,2018-10-15 19:09
"username=""裴小峰759""",            没有进击巨人始祖就有不战契约，跟女巨人能力差不多,2018-10-15 20:45
"username=""LinWenxiao2012""",            始祖尤弥尔算不算进去,2018-10-15 22:36
"username=""MIKA白毛猫""",            ,2018-10-15 23:46
